Date,Fixed_Income,Equity
30/09/2003,57.482021,995.97
31/10/2003,56.944702,1050.71
28/11/2003,57.135136,1058.2
31/12/2003,57.69463,1111.92
30/01/2004,57.948776,1131.13
27/02/2004,58.610222,1144.94
31/03/2004,59.011059,1126.21
30/04/2004,57.354904,1107.3
28/05/2004,57.138149,1120.68
30/06/2004,57.554234,1140.84
30/07/2004,58.086578,1101.72
31/08/2004,59.026817,1104.24
30/09/2004,59.331932,1114.58
29/10/2004,59.846127,1130.2
30/11/2004,59.403778,1173.82
31/12/2004,59.877415,1211.92
31/01/2005,60.1698,1181.27
28/02/2005,59.946274,1203.6
31/03/2005,59.362267,1180.59
29/04/2005,60.385025,1156.85
31/05/2005,60.884754,1191.5
30/06/2005,61.418236,1191.33
29/07/2005,60.782295,1234.18
31/08/2005,61.500469,1220.33
30/09/2005,60.924511,1228.81
31/10/2005,60.320766,1207.01
30/11/2005,60.546669,1249.48
30/12/2005,61.233364,1248.29
31/01/2006,61.196896,1280.08
28/02/2006,61.295242,1280.66
31/03/2006,60.763512,1294.87
28/04/2006,60.673054,1310.61
31/05/2006,60.552563,1270.09
30/06/2006,60.455059,1270.2
31/07/2006,61.2948,1276.66
31/08/2006,62.269993,1303.82
29/09/2006,62.899849,1335.85
31/10/2006,63.331219,1377.94
30/11/2006,64.003716,1400.63
29/12/2006,63.61937,1418.3
31/01/2007,63.57473,1438.24
28/02/2007,64.608055,1406.82
30/03/2007,64.482048,1420.86
30/04/2007,64.862274,1482.37
31/05/2007,64.267319,1530.62
29/06/2007,64.0252,1503.35
31/07/2007,64.712242,1455.27
31/08/2007,65.540184,1473.99
28/09/2007,65.955002,1526.75
31/10/2007,66.619759,1549.38
30/11/2007,67.821297,1481.14
31/12/2007,67.814941,1468.36
31/01/2008,69.383476,1378.55
29/02/2008,69.272476,1330.63
31/03/2008,69.362312,1322.7
30/04/2008,69.589539,1385.59
30/05/2008,68.709038,1400.38
30/06/2008,68.581993,1280
31/07/2008,68.852173,1267.38
29/08/2008,69.362999,1282.83
30/09/2008,68.142441,1166.36
31/10/2008,66.588066,968.75
28/11/2008,68.601852,896.24
31/12/2008,73.172386,903.25
30/01/2009,71.718735,825.88
27/02/2009,70.961876,735.09
31/03/2009,71.744537,797.87
30/04/2009,72.114174,872.81
29/05/2009,72.626015,919.14
30/06/2009,72.931595,919.32
31/07/2009,73.857147,987.48
31/08/2009,74.758385,1020.62
30/09/2009,75.646606,1057.08
30/10/2009,75.814468,1036.19
30/11/2009,76.789619,1095.63
31/12/2009,75.345055,1115.1
29/01/2010,76.41111,1073.87
26/02/2010,76.562737,1104.49
31/03/2010,76.557564,1169.43
30/04/2010,77.302689,1186.69
28/05/2010,78.139397,1089.41
30/06/2010,79.521484,1030.71
30/07/2010,80.20121,1101.6
31/08/2010,81.233215,1049.33
30/09/2010,81.239159,1141.2
29/10/2010,81.362839,1183.26
30/11/2010,80.683525,1180.55
31/12/2010,80.138603,1257.64
31/01/2011,80.070381,1286.12
28/02/2011,80.302994,1327.22
31/03/2011,80.123878,1325.83
29/04/2011,81.379852,1363.61
31/05/2011,82.388763,1345.2
30/06/2011,82.022011,1320.64
29/07/2011,83.405373,1292.28
31/08/2011,84.673553,1218.89
30/09/2011,85.326096,1131.42
31/10/2011,85.433983,1253.3
30/11/2011,85.151375,1246.96
30/12/2011,86.306618,1257.6
31/01/2012,86.932945,1312.41
29/02/2012,86.921143,1365.68
30/03/2012,86.423149,1408.47
30/04/2012,87.20607,1397.91
31/05/2012,88.146347,1310.33
29/06/2012,88.128914,1362.16
31/07/2012,89.329346,1379.32
31/08/2012,89.329346,1406.58
28/09/2012,89.567497,1440.67
31/10/2012,89.525238,1412.16
30/11/2012,89.767494,1416.18
31/12/2012,89.547401,1426.19
31/01/2013,88.991135,1498.11
28/02/2013,89.516975,1514.68
28/03/2013,89.605186,1569.19
30/04/2013,90.473076,1597.57
31/05/2013,88.662582,1630.74
28/06/2013,87.274612,1606.28
31/07/2013,87.509506,1685.73
30/08/2013,86.786369,1632.97
30/09/2013,87.758919,1681.55
31/10/2013,88.489624,1756.54
29/11/2013,88.267822,1805.81
31/12/2013,87.77636,1848.36
31/01/2014,89.128944,1782.59
28/02/2014,89.464432,1859.45
31/03/2014,89.331985,1872.34
30/04/2014,90.066032,1883.95
30/05/2014,91.127914,1923.57
30/06/2014,91.07547,1960.23
31/07/2014,90.846962,1930.67
29/08/2014,91.891396,2003.37
30/09/2014,91.326393,1972.29
31/10/2014,92.298157,2018.05
28/11/2014,92.904625,2067.56
31/12/2014,93.041733,2058.9
30/01/2015,94.951256,1994.99
27/02/2015,94.101608,2104.5
31/03/2015,94.454208,2067.89
30/04/2015,94.149353,2085.51
29/05/2015,93.737518,2107.39
30/06/2015,92.728249,2063.11
31/07/2015,93.527733,2103.84
31/08/2015,93.213669,1972.18
30/09/2015,93.969971,1920.03
30/10/2015,94.034454,2079.36
30/11/2015,93.66861,2080.41
31/12/2015,93.489021,2043.94
29/01/2016,94.648842,1940.24
29/02/2016,95.488457,1932.23
31/03/2016,96.323685,2059.74
29/04/2016,96.56926,2065.3
31/05/2016,96.582367,2096.95
30/06/2016,98.451393,2098.86
29/07/2016,98.987419,2173.6
31/08/2016,98.774162,2170.95
30/09/2016,98.825119,2168.27
31/10/2016,98.017609,2126.15
30/11/2016,95.502975,2198.81
30/12/2016,95.745651,2238.83
31/01/2017,95.949478,2278.87
28/02/2017,96.569138,2363.64
31/03/2017,96.515755,2362.72
28/04/2017,97.391174,2384.2
31/05/2017,98.060333,2411.8
30/06/2017,98.04245,2423.41
31/07/2017,98.369881,2470.3
31/08/2017,99.295898,2471.65
29/09/2017,98.728302,2519.36
31/10/2017,98.824928,2575.26
30/11/2017,98.678383,2647.58
29/12/2017,99.147232,2673.61
31/01/2018,98.031822,2823.81
28/02/2018,97.042908,2713.83
29/03/2018,97.694221,2640.87
30/04/2018,96.774872,2648.05
31/05/2018,97.41539,2705.27
29/06/2018,97.515335,2718.37
31/07/2018,97.486847,2816.29
31/08/2018,98.040604,2901.52
28/09/2018,97.433029,2913.98
31/10/2018,96.805458,2711.74
30/11/2018,97.552376,2760.17
31/12/2018,99.485092,2506.85
31/01/2019,100.391281,2704.1
28/02/2019,100.277046,2784.49
29/03/2019,102.405472,2834.4
30/04/2019,102.200325,2945.83
31/05/2019,104.153198,2752.06
28/06/2019,105.29744,2941.76
31/07/2019,105.488884,2980.38
30/08/2019,108.424393,2926.46
30/09/2019,107.760735,2976.74
31/10/2019,107.984985,3037.56
29/11/2019,107.947701,3140.98
31/12/2019,107.897194,3230.78
31/01/2020,110.086449,3225.52
28/02/2020,111.830963,2954.22
31/03/2020,111.241821,2584.59
30/04/2020,113.154152,2912.43
29/05/2020,113.915207,3044.31
30/06/2020,114.666,3100.29
31/07/2020,116.194702,3271.12
31/08/2020,115.23774,3500.31
30/09/2020,115.125572,3363
30/10/2020,114.482857,3269.96
30/11/2020,115.864372,3621.63
31/12/2020,115.963715,3756.07
29/01/2021,115.100288,3714.24
26/02/2021,113.352905,3811.15
31/03/2021,112.053528,3972.89
30/04/2021,112.873772,4181.17
28/05/2021,113.103836,4204.11
30/06/2021,114.040237,4297.5
30/07/2021,115.313583,4395.26
31/08/2021,115.082542,4522.68
30/09/2021,114.026978,4307.54
29/10/2021,114.017029,4605.38
30/11/2021,114.325836,4567
31/12/2021,113.915718,4766.18
31/01/2022,111.639008,4515.55
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
